,epoch,batch,time_stamp,train_loss,val_loss,val_accuracy,resqu_weightnorm,resqu_biasnorm
0,0,0,11230,0.5314830621083577,0.5388679313659668,0.0,0.40376341342926025,0.5174185037612915
1,1,0,22460,0.5284917863210042,0.5331953620910644,0.0,0.3963977098464966,0.5155742168426514
2,2,0,33673,0.521424118677775,0.5278799724578858,0.0,0.3916035592556,0.5136501789093018
3,3,0,44819,0.5139244810740153,0.5172565364837647,0.0,0.3917693793773651,0.513999879360199
4,4,0,55992,0.5034798113505046,0.5090330028533936,0.0,0.3895954489707947,0.5171872973442078
5,5,0,67168,0.49364070892333983,0.49710276603698733,0.0,0.3931381106376648,0.522731602191925
6,6,0,78341,0.4807283624013265,0.48247801780700683,0.0,0.40384912490844727,0.5350556969642639
7,7,0,89574,0.464677152633667,0.4653320217132568,0.0,0.4189225435256958,0.5501952171325684
8,8,0,100799,0.4425900491078695,0.4399170207977295,0.0,0.4438638389110565,0.5734368562698364
9,9,0,111982,0.40974090894063314,0.40771631240844725,0.0,0.47563713788986206,0.6058048009872437
10,10,0,123377,0.3773076343536377,0.3811472511291504,0.0,0.49595341086387634,0.6322339177131653
11,11,0,134549,0.3488521162668864,0.3524767780303955,0.0,0.5034186840057373,0.6522781848907471
12,12,0,145964,0.32266645431518554,0.3338507890701294,0.0,0.5096510052680969,0.6744096279144287
13,13,0,158044,0.3033602158228556,0.3165962266921997,0.0,0.5089520812034607,0.6813482046127319
14,14,0,169764,0.282018191019694,0.2867020750045776,0.0,0.51353919506073,0.6892751455307007
15,15,0,181095,0.2582343355814616,0.26598955154418946,0.0,0.5219411253929138,0.7020441889762878
16,16,0,192773,0.23897766590118408,0.2417709445953369,0.0,0.5239068865776062,0.7059057950973511
17,17,0,204741,0.21222880045572917,0.2113141918182373,0.0,0.5309222936630249,0.7164425849914551
18,18,0,216644,0.1931232253710429,0.1855291223526001,0.0,0.5348303318023682,0.7194433212280273
19,19,0,228276,0.1710637148221334,0.17548748970031738,0.0,0.5408542156219482,0.7272445559501648
