,epoch,batch,time_stamp,train_loss,val_loss,val_accuracy,resqu_weightnorm_over_biasnorm
0,0,0,50383,1.3472281077991832,1.1348614768981933,0.6288,0
1,1,0,100373,1.0618488084272906,0.9826971162796021,0.7234,0
2,2,0,150538,0.9549817113702948,0.9297384632110596,0.7552,0
3,3,0,200833,0.9002664732499556,0.8915518869400024,0.7782,0
4,4,0,250895,0.8617650604248047,0.8696906688690186,0.779,0
5,5,0,300711,0.8358262508045543,0.8413929252624511,0.8044,0
6,6,0,350336,0.8092209788929332,0.816677080154419,0.8194,0
7,7,0,399898,0.7958060312444514,0.8071403053283691,0.8268,0
8,8,0,449668,0.7811135781028054,0.7999360229492187,0.8242,0
9,9,0,499676,0.7675308996027166,0.7805599590301514,0.8424,0
10,10,0,550008,0.7556479080200196,0.7703179508209228,0.8444,0
11,11,0,600702,0.7441113539262252,0.7575842178344726,0.8472,0
12,12,0,650556,0.7366524253151634,0.7636978119850159,0.8472,0
13,13,0,700678,0.7300872127186169,0.7659322017669677,0.848,0
14,14,0,751194,0.7217276748657226,0.747870676612854,0.856,0
15,15,0,801469,0.7132599449851296,0.7354815470695496,0.863,0
16,16,0,852528,0.7095830987410112,0.7338461008071899,0.8608,0
17,17,0,902943,0.7031448810924184,0.7373057136535645,0.8574,0
18,18,0,956875,0.6937261795737527,0.7240088274002076,0.868,0
19,19,0,1008099,0.6916404398137873,0.7204947653770447,0.8698,0
20,20,0,1058938,0.6867101206692783,0.7269301690101624,0.8684,0
21,21,0,1109308,0.6816541365189985,0.7179855070114136,0.8662,0
22,22,0,1160311,0.6774482173572887,0.7263938089370727,0.8636,0
23,23,0,1210836,0.674935020238703,0.7184358311653137,0.8764,0
24,24,0,1261070,0.670715635473078,0.7119349908828735,0.876,0
25,25,0,1311016,0.663901630193537,0.7214000188827515,0.8722,0
26,26,0,1360825,0.6646221761530096,0.7106470398902893,0.88,0
27,27,0,1410832,0.6580290979558772,0.7102298409461975,0.8778,0
28,28,0,1462007,0.6583972390608354,0.7103044086456299,0.8766,0
29,29,0,1511950,0.6516354162042791,0.7219439990997314,0.8718,0
30,30,0,1562324,0.6507957436301491,0.7001407981872558,0.882,0
31,31,0,1613133,0.6481626846313476,0.7035511130332947,0.881,0
32,32,0,1663095,0.6478240914084694,0.6946164649963379,0.8792,0
33,33,0,1713729,0.6442483047485351,0.7123533351898194,0.8788,0
34,34,0,1763706,0.6402935796564275,0.7110126150131225,0.877,0
35,35,0,1813696,0.6377266562028364,0.6956891234397888,0.8814,0
36,36,0,1863723,0.6358859502618963,0.7021726837158203,0.8766,0
37,37,0,1913871,0.635911264038086,0.6925952421188355,0.887,0
38,38,0,1963973,0.6320148748918013,0.6827881423950195,0.8888,0
39,39,0,2015063,0.6290424387151545,0.6894392726898193,0.8918,0
40,40,0,2065181,0.6285529512578791,0.6875219446182251,0.8874,0
41,41,0,2115375,0.6279258547002619,0.6945410942077637,0.8808,0
42,42,0,2165436,0.6256758175936612,0.6867220508575439,0.89,0
43,43,0,2215802,0.6226335074684837,0.683990205001831,0.8896,0
44,44,0,2265964,0.6235369780106979,0.6829891365051269,0.8944,0
45,45,0,2315932,0.6194006258184259,0.6935349895477295,0.885,0
46,46,0,2366974,0.6172200866699219,0.6815140529632568,0.888,0
47,47,0,2417717,0.6170548793445934,0.681808938217163,0.8906,0
48,48,0,2468684,0.6164659446716308,0.6853619968414306,0.891,0
49,49,0,2519468,0.6140776113336737,0.6956570101737976,0.8776,0
50,50,0,2569470,0.6121859145424583,0.694689667892456,0.8872,0
51,51,0,2619244,0.612007037006725,0.6836826982498169,0.894,0
52,52,0,2670028,0.6100894076260653,0.6888990020751953,0.89,0
53,53,0,2721123,0.6095215829329057,0.6875032817840576,0.8894,0
54,54,0,2788338,0.6062383854952725,0.6829455310821533,0.895,0
55,55,0,2860543,0.6061630199779163,0.6913785255432129,0.8914,0
56,56,0,2929304,0.6055104341680353,0.6817661230087281,0.8892,0
57,57,0,2999156,0.601586271459406,0.6840551721572876,0.8876,0
58,58,0,3074502,0.6037721324573864,0.6921921237945556,0.8918,0
59,59,0,3145838,0.6010404770591042,0.6910303871154785,0.8866,0
60,60,0,3210648,0.6000852181174539,0.6885792232513428,0.8914,0
61,61,0,3275215,0.5998010289972479,0.6836911245346069,0.8902,0
62,62,0,3346816,0.5981108785455878,0.6800756103515625,0.8898,0
