,epoch,batch,time_stamp,train_loss,val_loss,val_accuracy
0,0,0,33046,,0.02685233726501465,0.1022
1,3,0,259448,,0.013644085121154784,0.4636
2,6,0,491103,,0.012063148617744445,0.5748
3,9,0,738045,,0.011035015606880187,0.637
4,12,0,982899,,0.010405092906951904,0.6802
5,15,0,1229767,,0.009954041445255279,0.7046
6,18,0,1467915,,0.009612991678714752,0.725
7,21,0,1713145,,0.009166741299629211,0.7542
8,24,0,1968407,,0.008964763331413269,0.761
9,27,0,2213082,,0.008610590481758117,0.784
10,30,0,2448583,,0.008520705330371857,0.7948
11,33,0,2675507,,0.00829764505624771,0.8022
12,36,0,2926178,,0.008100399875640868,0.8154
13,39,0,3160810,,0.007978222024440765,0.8234
14,42,0,3411746,,0.007911705815792083,0.8304
15,45,0,3645875,,0.007829834830760956,0.8302
16,48,0,3898241,,0.007737648963928223,0.8402
17,51,0,4133152,,0.007652416896820068,0.8416
18,54,0,4384875,,0.007611695206165314,0.8462
19,57,0,4620579,,0.007542748248577118,0.8452
20,60,0,4876496,,0.007474864995479584,0.851
21,63,0,5111738,,0.007504202723503113,0.8504
22,66,0,5364267,,0.007508955943584442,0.845
23,69,0,5600973,,0.007369798469543457,0.854
24,72,0,5852170,,0.0074046416044235225,0.8574
25,75,0,6087026,,0.00730111004114151,0.8612
26,78,0,6340295,,0.00729991911649704,0.8576
27,81,0,6575974,,0.00729086844921112,0.8636
28,84,0,6826894,,0.0072932102084159855,0.857
29,87,0,7060020,,0.007325156140327454,0.8626
30,90,0,7310298,,0.0071046020865440365,0.8754
31,93,0,7542377,,0.007111150801181793,0.8712
32,96,0,7793772,,0.007165885424613953,0.8668
33,99,0,8028659,,0.00718683785200119,0.8664
34,102,0,8285602,,0.007260852491855621,0.8626
35,105,0,8527072,,0.007102057230472565,0.872
36,108,0,8781523,,0.007155489158630371,0.8712
37,111,0,9017094,,0.007165240919589996,0.8676
38,114,0,9267072,,0.007143670570850373,0.8676
39,117,0,9501884,,0.007137133681774139,0.8688
40,120,0,9757557,,0.0072251962184906,0.8646
41,123,0,9991826,,0.007037636208534241,0.8752
42,126,0,10242027,,0.007084924173355102,0.869
43,129,0,10476745,,0.0071851901531219484,0.8666
44,132,0,10730796,,0.0070317781209945675,0.877
45,135,0,10967232,,0.007010122680664062,0.8772
46,138,0,11217496,,0.00705341123342514,0.8718
47,141,0,11452603,,0.007034578895568848,0.8732
48,144,0,11703998,,0.007137101936340332,0.87
49,147,0,11943656,,0.007042137932777405,0.8746
50,150,0,12201832,,0.007001243531703949,0.875
51,153,0,12437271,,0.006980303454399109,0.879
52,156,0,12688866,,0.007091111826896667,0.8728
53,159,0,12925433,,0.007054423475265503,0.8746
54,162,0,13183023,,0.007038755321502685,0.8748
55,165,0,13433229,,0.006965028476715088,0.8808
56,168,0,13689497,,0.007047794675827027,0.8758
57,171,0,13928120,,0.00708734917640686,0.874
58,174,0,14182711,,0.007011087822914123,0.8754
