,epoch,batch,time_stamp,train_loss,val_loss,val_accuracy
0,0,0,127503,1.80892653985457,1.6125153660774232,0.2922
1,1,0,278486,1.5215076609091325,1.4510523533821107,0.4138
2,2,0,427228,1.3963851170106367,1.3597304940223693,0.4738
3,3,0,555265,1.3256696755235846,1.2986361503601074,0.5092
4,4,0,692742,1.2647059364752335,1.2390132522583008,0.554
5,5,0,848821,1.2160670178586785,1.1966026091575623,0.58
6,6,0,986191,1.1687718545306813,1.153876165151596,0.6066
7,7,0,1115008,1.1305161294070156,1.1213613414764405,0.6282
8,8,0,1262469,1.098927703445608,1.0934014642238616,0.6414
9,9,0,1417042,1.0724399241534146,1.0613193798065186,0.662
10,10,0,1546138,1.0478815151344647,1.0421808981895446,0.6716
11,11,0,1680952,1.0271965889497237,1.0222860050201417,0.6914
12,12,0,1836734,1.0064955114234577,1.006832581758499,0.698
13,13,0,1976298,0.9885554881529375,0.9915319228172302,0.708
14,14,0,2105378,0.9730765732851896,0.9761312401294708,0.716
15,15,0,2248567,0.9567273672060533,0.9582780766487121,0.7266
16,16,0,2405099,0.9409308887611736,0.9468999910354614,0.7376
17,17,0,2538937,0.9277721720392054,0.9309610950946808,0.7434
18,18,0,2670804,0.9113780536434867,0.9252723288536072,0.7488
19,19,0,2824740,0.8997476595098322,0.9053100323677064,0.7566
20,20,0,2968914,0.888069879358465,0.9044027531147003,0.7526
21,21,0,3095523,0.8792360259186138,0.8932039034366608,0.7614
22,22,0,3235705,0.8672078883647919,0.880770583152771,0.7744
23,23,0,3392377,0.8544969946687871,0.8733157515525818,0.7764
24,24,0,3527111,0.8469272276488218,0.8652513241767883,0.7844
25,25,0,3657687,0.8366764139045368,0.8586300194263459,0.7804
26,26,0,3809696,0.8267291668328371,0.8490768206119538,0.7876
27,27,0,3957709,0.8220065926421772,0.8494319844245911,0.7946
28,28,0,4086095,0.8173711164431139,0.8432324290275574,0.796
29,29,0,4222989,0.8097073354504325,0.8355668878555298,0.7978
30,30,0,4379659,0.8039143010703,0.8325288391113281,0.7996
31,31,0,4517919,0.7967663422497836,0.8188386845588684,0.8106
32,32,0,4648283,0.7920586105910215,0.8239224445819855,0.8044
33,33,0,4795888,0.7877728626944802,0.8171773314476013,0.8064
34,34,0,4949849,0.7808133950016716,0.8094654822349548,0.816
35,35,0,5079760,0.7742360797795382,0.8080090546607971,0.8158
36,36,0,5214520,0.7710072320157831,0.8078157246112824,0.8158
37,37,0,5369926,0.7670101050897078,0.8050855720043182,0.8198
38,38,0,5510877,0.7600019352002577,0.7978380990028381,0.8222
39,39,0,5639931,0.7582941653511741,0.8017358219623566,0.8202
40,40,0,5782571,0.7576925972375003,0.7834811985492707,0.834
41,41,0,5939082,0.7483710538257252,0.7855330085754395,0.8278
42,42,0,6074645,0.7456143303350968,0.7929935395717621,0.8208
43,43,0,6205643,0.7439466618407856,0.7819220697879792,0.8288
44,44,0,6360171,0.7390509521961213,0.786360137462616,0.8254
45,45,0,6505510,0.7366318820823322,0.774617669582367,0.8324
46,46,0,6634410,0.7319815499132329,0.7754069221019745,0.8384
47,47,0,6773657,0.7293162363225764,0.7714013516902923,0.8376
48,48,0,6930564,0.7275144198807804,0.7727645492553711,0.8352
49,49,0,7067433,0.7237281339818781,0.7805490112304687,0.8284
50,50,0,7197654,0.7210520215467974,0.7671123349666595,0.8406
51,51,0,7349894,0.718419176014987,0.7702367007732391,0.8346
52,52,0,7497885,0.712944426428188,0.7645080149173736,0.8398
53,53,0,7629934,0.7132290365479209,0.7745535290241241,0.8334
54,54,0,7769117,0.7086394136602229,0.7654975628852845,0.8424
55,55,0,7929617,0.704501521912488,0.7532558524608612,0.8474
56,56,0,8069906,0.702493153593757,0.7639168131351471,0.8414
57,57,0,8199174,0.7001522273367101,0.7569268763065338,0.8406
58,58,0,8343437,0.6993146685036746,0.75051766872406,0.8472
59,59,0,8499502,0.6963037532026117,0.7569867908954621,0.8456
60,60,0,8630729,0.6929133420640772,0.7524345171451569,0.8424
61,61,0,8764121,0.6896487557888031,0.74554771900177,0.851
62,62,0,8918845,0.688772583658045,0.7605295443534851,0.8428
63,63,0,9063503,0.6881446407058022,0.7460025489330292,0.8544
64,64,0,9192197,0.6843453839692203,0.7472238028049469,0.8494
65,65,0,9333337,0.6831815160404552,0.7564445674419403,0.8442
66,66,0,9496799,0.6811549411036751,0.7403668880462646,0.853
67,67,0,9640228,0.6789807896180586,0.7474762856960296,0.8462
68,68,0,9773954,0.6782652944868262,0.7393418431282044,0.852
69,69,0,9927904,0.6755319548736919,0.7410972785949707,0.8522
70,70,0,10082699,0.672959983999079,0.7417620027065277,0.8498
71,71,0,10213365,0.6700923771207983,0.7353308701515198,0.855
72,72,0,10351851,0.6703760056062178,0.7411287569999695,0.8532
73,73,0,10509625,0.6689556682109833,0.740615109205246,0.8496
74,74,0,10654598,0.6654584954001687,0.7316298305988311,0.8566
75,75,0,10787367,0.6646425981955095,0.7325486278533936,0.8568
76,76,0,10934066,0.6637760202451186,0.727259612083435,0.857
77,77,0,11095456,0.6616133893619884,0.7320321714878082,0.8588
78,78,0,11232990,0.6602986334670674,0.7329667437076569,0.859
79,79,0,11368014,0.6570047537846999,0.7320035016536712,0.8578
80,80,0,11527723,0.6571829089251432,0.7324101591110229,0.8588
81,81,0,11682061,0.6539554677226327,0.7237450730800629,0.8654
82,82,0,11815389,0.6518200765956532,0.7278044724464416,0.8614
83,83,0,11961295,0.653288835178722,0.7323786032199859,0.8564
84,84,0,12125205,0.65107044079087,0.7186132657527924,0.866
85,85,0,12272616,0.6504546892642975,0.7241659772396087,0.863
86,86,0,12407574,0.6483449748429385,0.7189422965049743,0.8682
87,87,0,12560156,0.6462065065990795,0.7247464096546173,0.8616
88,88,0,12725136,0.6444410379366441,0.7297804641723633,0.858
89,89,0,12862295,0.6436379811980507,0.7278336989879608,0.8614
90,90,0,13004282,0.6430198747461492,0.7328218924999237,0.8552
91,91,0,13165665,0.6416007815707814,0.7274026477336883,0.8576
92,92,0,13317099,0.6394536260041324,0.7227012860774994,0.8646
93,93,0,13453588,0.6361176906932484,0.7258151555061341,0.8574
94,94,0,13601928,0.6384661427411166,0.7212992215156555,0.8616
95,95,0,13762202,0.635395229729739,0.7191129767894745,0.8664
96,96,0,13908270,0.6342608708685095,0.7249690628051758,0.8636
97,97,0,14043753,0.6330970834602009,0.7182665956020355,0.8646
98,98,0,14199932,0.6319801246036183,0.7202149856090546,0.8636
99,99,0,14360483,0.6319316400181163,0.7192136740684509,0.8658
100,100,0,14498475,0.6307163667678833,0.7233221459388733,0.866
101,101,0,14641776,0.6298526123437015,0.7245595014095306,0.861
102,102,0,14805154,0.6284729488329454,0.7039062798023223,0.8736
103,103,0,14954736,0.6267402809316461,0.7259875524044037,0.8606
104,104,0,15093152,0.6253227269649506,0.7204742193222046,0.8624
105,105,0,15241210,0.6247352900288322,0.7158001327514648,0.8638
106,106,0,15407058,0.6247014928947795,0.7228063833713532,0.8634
107,107,0,15550213,0.6218882753632285,0.7216067016124725,0.8634
108,108,0,15689896,0.6221010342511264,0.7162170362472534,0.8656
109,109,0,15847632,0.6207126984812996,0.7140546751022339,0.8692
110,110,0,16008167,0.6206470427729867,0.7243855810165405,0.8632
111,111,0,16145555,0.617794132232666,0.7145088016986847,0.8712
112,112,0,16288360,0.6193125408346003,0.7261876296997071,0.8664
113,113,0,16452487,0.6159766799753362,0.7194462513923645,0.867
114,114,0,16600183,0.6177264107357372,0.7090644180774689,0.8728
115,115,0,16735042,0.6143088466470892,0.7161421287059784,0.8644
116,116,0,16877395,0.6135357311638919,0.7164933204650878,0.865
117,117,0,17035348,0.6129999589920044,0.7047651946544647,0.8718
118,118,0,17172441,0.6092904508113861,0.7156903862953186,0.868
119,119,0,17303449,0.6130834260853855,0.7157628226280213,0.8662
120,120,0,17457306,0.6093564057350158,0.7184709250926972,0.8642
121,121,0,17604330,0.6095451372320002,0.7102591109275818,0.8684
122,122,0,17734475,0.6077543214234439,0.7120989620685577,0.8698
123,123,0,17873996,0.6080164169181477,0.7137950217723846,0.8652
124,124,0,18031699,0.6065476857532155,0.7073376905918122,0.8712
125,125,0,18169517,0.6071879425915805,0.712209609746933,0.8708
126,126,0,18299306,0.6038970863819122,0.7134325957298279,0.8704
127,127,0,18449898,0.6021269064599818,0.7117444252967835,0.8744
128,128,0,18602370,0.6055443690039894,0.7076607024669648,0.8718
129,129,0,18732847,0.6008045954054052,0.714596016407013,0.8662
130,130,0,18870028,0.6011179027774117,0.716164095401764,0.8694
131,131,0,19026620,0.6002128531716087,0.7071468925476074,0.8728
132,132,0,19167029,0.6014701351252469,0.7047800993919373,0.876
133,133,0,19295348,0.5989071322571148,0.7050394761562347,0.8774
134,134,0,19442169,0.5988880069689317,0.716764839887619,0.8698
135,135,0,19599699,0.5974993364377456,0.7146597707271576,0.8702
136,136,0,19731971,0.5972757192091508,0.7047701609134674,0.8758
137,137,0,19865443,0.5957942600683732,0.7052107930183411,0.8712
138,138,0,20020625,0.597479454387318,0.7094778227806091,0.8722
139,139,0,20164022,0.5961075702580538,0.6994419705867767,0.878
140,140,0,20293630,0.5948151644793424,0.7084329068660736,0.8728
141,141,0,20434945,0.5928795584765347,0.7105068945884705,0.8712
142,142,0,20592291,0.5948407039859078,0.7112065947055817,0.867
143,143,0,20730206,0.5910332421822981,0.7066753733158112,0.8704
144,144,0,20861219,0.59317662358284,0.7106820476055146,0.8714
145,145,0,21010728,0.5906268546798012,0.6985752606391906,0.8806
146,146,0,21163706,0.5904793785918843,0.7046874248981476,0.8764
147,147,0,21293035,0.5889659401503476,0.7090716648101807,0.8726
148,148,0,21429373,0.5889915668964386,0.7020993399620056,0.8776
149,149,0,21585510,0.5861134440248663,0.709054788351059,0.8758
150,150,0,21724385,0.5893954904512926,0.7028599464893341,0.8756
151,151,0,21852005,0.5892226758870212,0.7109560990333557,0.8744
152,152,0,22000407,0.5875882262533362,0.7113250124454499,0.8716
153,153,0,22156315,0.5867760683189739,0.709458886384964,0.8716
154,154,0,22286711,0.5846735977042805,0.7115011060237885,0.8738
155,155,0,22422179,0.5845697423544797,0.7233070611953736,0.8602
156,156,0,22578280,0.5852195450392637,0.708893826007843,0.8706
157,157,0,22718741,0.585807005925612,0.7017939519882203,0.8778
158,158,0,22847218,0.58298336121169,0.7078687250614166,0.875
159,159,0,22991609,0.5820804927565835,0.7072066593170167,0.8752
160,160,0,23148874,0.5831130465594205,0.7076213920116424,0.8756
161,161,0,23278924,0.58241696823727,0.7074785482883453,0.874
162,162,0,23418436,0.5798727437582883,0.7102830111980438,0.8714
163,163,0,23578031,0.5806062876094471,0.717007166147232,0.8702
164,164,0,23720509,0.5812024296413768,0.6973491942882538,0.8774
165,165,0,23851517,0.579722804427147,0.6962954819202423,0.8784
166,166,0,23992898,0.5780213338678534,0.7076796352863312,0.875
167,167,0,24150190,0.5781816441362554,0.7101769626140595,0.8728
168,168,0,24285555,0.5782861521027305,0.7065644049644471,0.8736
169,169,0,24416423,0.5765183290568265,0.6988144981861114,0.8748
170,170,0,24568021,0.5752848374843598,0.7108132898807525,0.8742
171,171,0,24714884,0.5777485218915073,0.6984187090396881,0.8812
172,172,0,24850582,0.5762952984463084,0.7081157243251801,0.87
173,173,0,24986702,0.5742967375842007,0.7081798827648162,0.8762
174,174,0,25142298,0.5752120441740209,0.7009054231643677,0.8826
175,175,0,25283449,0.5728912684592333,0.715710597038269,0.8728
176,176,0,25411680,0.574618565602736,0.7100379741191865,0.8714
177,177,0,25554552,0.5721829210086302,0.7101955080032348,0.8722
178,178,0,25711845,0.5746004647558386,0.7095405876636505,0.873
179,179,0,25844400,0.5721279149705714,0.7061407840251923,0.8744
180,180,0,25976487,0.571219253485853,0.6981367433071136,0.8796
181,181,0,26130973,0.5711676202037118,0.7143576562404632,0.8728
182,182,0,26275543,0.5704988693649119,0.7140713167190552,0.8732
183,183,0,26403515,0.5726665392788973,0.7038824033737182,0.8768
184,184,0,26542903,0.5688496571779251,0.6973106634616851,0.8804
185,185,0,26699567,0.5687991456551985,0.7045894968509674,0.8758
186,186,0,26834929,0.5702118637345054,0.7042162990570069,0.8756
187,187,0,26965214,0.5682842888615348,0.6952533400058747,0.884
188,188,0,27119180,0.5664404267072678,0.7099113655090332,0.8702
189,189,0,27268643,0.5686523939804597,0.7034709763526916,0.876
190,190,0,27403857,0.5650551093708385,0.7011816155910492,0.8748
191,191,0,27543933,0.5669029185446826,0.696827187538147,0.8808
192,192,0,27701210,0.5685921121727336,0.7006078100204468,0.8776
193,193,0,27874780,0.567978001832962,0.7057711577415466,0.8738
194,194,0,27976566,0.5667624280127612,0.702265259027481,0.8782
195,195,0,28089471,0.5671609497070312,0.6984046113491058,0.8764
196,196,0,28214029,0.5647440554878929,0.6917325055599213,0.8838
197,197,0,28324994,0.5646253718571229,0.707661851644516,0.8728
198,198,0,28428046,0.5642447552897714,0.7029127216339112,0.8754
199,199,0,28545308,0.5651641983877529,0.7079100084304809,0.8754
200,200,0,28666459,0.5642688519304448,0.6993383014202118,0.8796
201,201,0,28770673,0.5623269177025014,0.7059720516204834,0.8762
202,202,0,28874062,0.5623615792122754,0.7038158679008484,0.8764
203,203,0,28996953,0.5606522089242936,0.7050917828083039,0.8782
204,204,0,29114549,0.5619417615912178,0.6966658890247345,0.8806
205,205,0,29215744,0.5598220480572094,0.7112553334236145,0.8728
206,206,0,29323782,0.5590872796015306,0.700479257106781,0.8776
207,207,0,29447473,0.5605612805756656,0.6964825534820557,0.8786
208,208,0,29561582,0.561325498602607,0.6991985821723938,0.8794
209,209,0,29662951,0.5617793409932743,0.7043674898147583,0.8774
210,210,0,29775708,0.5601014861193571,0.7056678807735444,0.8756
211,211,0,29896658,0.5601161968708038,0.7050076603889466,0.8738
212,212,0,30001330,0.558935476324775,0.7015705847740173,0.8806
213,213,0,30103879,0.5570284623449498,0.6992402446269989,0.8832
214,214,0,30226063,0.5568033186955885,0.7114750218391418,0.873
215,215,0,30343464,0.5578039896488189,0.701775711774826,0.8804
216,216,0,30443559,0.5567094163461165,0.6910471165180206,0.8816
217,217,0,30549685,0.5565716008706526,0.6978716683387757,0.8816
218,218,0,30673081,0.5575540245663037,0.7015834105014801,0.8772
219,219,0,30786323,0.556784102266485,0.6964086961746215,0.8828
220,220,0,30888037,0.5549987034906041,0.7118879175186157,0.8718
221,221,0,31001961,0.5562398899685252,0.7016758120059967,0.8806
222,222,0,31123565,0.5542723321914673,0.7134102213382721,0.8698
223,223,0,31230311,0.5556671012531628,0.7030820047855377,0.8768
224,224,0,31334320,0.5559942924434489,0.7003930413722992,0.8778
225,225,0,31454093,0.5532273915680972,0.7044099032878876,0.8788
