,epoch,batch,time_stamp,train_loss,val_loss,val_accuracy,resqu_weightnorm_over_biasnorm
0,0,0,76015,1.3597253985318272,1.1720392726898194,0.6164,0
1,1,0,151271,1.0797231898914683,1.0205657554626464,0.6972,0
2,2,0,227728,0.9655379556829279,0.9242925968170166,0.761,0
3,3,0,303920,0.905833481389826,0.8782728776931763,0.7798,0
4,4,0,380679,0.866456667397239,0.8774009746551513,0.785,0
5,5,0,456985,0.8354825385353782,0.8392364143371582,0.812,0
6,6,0,532650,0.8122494032426314,0.8188433506011963,0.8196,0
7,7,0,608197,0.7922420120239257,0.8107773495674133,0.823,0
8,8,0,683187,0.777345590764826,0.7899481142044067,0.8364,0
9,9,0,758499,0.7626382522583007,0.7645543315887451,0.847,0
10,10,0,833356,0.7547134762850675,0.7738697105407715,0.8416,0
11,11,0,909773,0.7421726660988548,0.7578343892097473,0.8506,0
12,12,0,985480,0.7321571047002619,0.7519038294792175,0.8494,0
13,13,0,1061102,0.7239537120472301,0.7617204652786255,0.8466,0
14,14,0,1135842,0.7173243474786932,0.7350235654830932,0.8618,0
15,15,0,1210811,0.7105179462779652,0.726727269744873,0.8698,0
16,16,0,1286236,0.7061042175292969,0.7345346624374389,0.8662,0
17,17,0,1362409,0.6967971202503551,0.730928049659729,0.8646,0
18,18,0,1438502,0.6933787122553046,0.7100507530212402,0.873,0
19,19,0,1514549,0.6870603633533825,0.723042089176178,0.8702,0
20,20,0,1590138,0.681884665888006,0.7189876319885254,0.8722,0
21,21,0,1664820,0.6780825311834162,0.7194346063613891,0.8714,0
22,22,0,1740467,0.6712555015563965,0.7160711057662964,0.8714,0
23,23,0,1816445,0.6695921691894531,0.7132091572761535,0.874,0
24,24,0,1892671,0.6668472209583629,0.7169983470916748,0.877,0
25,25,0,1970866,0.6629619898709384,0.7091648186683654,0.8768,0
26,26,0,2047011,0.660204948425293,0.6969126077651977,0.8832,0
27,27,0,2123189,0.6537263348666105,0.7021933778762818,0.8808,0
28,28,0,2198956,0.6534993251453747,0.7102095298767089,0.8742,0
29,29,0,2274356,0.6477008168307218,0.7071456988334656,0.877,0
30,30,0,2350268,0.6466973073785955,0.7008177633285523,0.8796,0
31,31,0,2426071,0.6437765492525968,0.6980891279220581,0.8828,0
32,32,0,2502861,0.6406603840221058,0.6935650656700134,0.8864,0
33,33,0,2578641,0.6394995547207919,0.7079502495765686,0.8832,0
34,34,0,2654121,0.6362039158214222,0.6971527572631836,0.879,0
35,35,0,2729555,0.6330226527820934,0.6985456029891968,0.8862,0
36,36,0,2804778,0.6313340421503241,0.6944595754623413,0.8858,0
37,37,0,2880476,0.6299722014687278,0.6929272950172425,0.884,0
38,38,0,2955736,0.6272094564958052,0.7071852331161499,0.8856,0
39,39,0,3031188,0.6273354388150302,0.6880971068382263,0.8898,0
40,40,0,3105667,0.6224720751675692,0.688506688785553,0.8912,0
41,41,0,3166613,0.6221821807167747,0.6900416294097901,0.8904,0
42,42,0,3228623,0.620715597187389,0.6844320201873779,0.8922,0
43,43,0,3294683,0.6185937760092995,0.6909269707679748,0.8882,0
44,44,0,3357587,0.6181540459372781,0.6881802255630494,0.8902,0
45,45,0,3417745,0.6152893830732866,0.6821026321411133,0.893,0
46,46,0,3477955,0.6138435168179599,0.6875490106582641,0.8848,0
47,47,0,3537955,0.6106601577065208,0.6871690167427063,0.8906,0
48,48,0,3598112,0.610458533408425,0.6963348980903625,0.8846,0
49,49,0,3658286,0.6086833932356401,0.6874657258033753,0.889,0
50,50,0,3718707,0.607917772397128,0.6777737290382385,0.8934,0
51,51,0,3779070,0.6052677540865812,0.6989516872406006,0.8852,0
52,52,0,3839447,0.60761426412409,0.6883409393310547,0.889,0
53,53,0,3899675,0.6042484671852806,0.6875876039505004,0.8872,0
54,54,0,3959994,0.6023419029929421,0.6810473126411438,0.895,0
55,55,0,4020181,0.6005795017589223,0.6913404185295104,0.8914,0
56,56,0,4080578,0.5991067339116877,0.6840066750526428,0.8902,0
57,57,0,4140763,0.5969432662270285,0.6806828977584839,0.8968,0
58,58,0,4200923,0.596788088018244,0.681843112373352,0.8906,0
59,59,0,4261116,0.5963132171630859,0.6813684144973755,0.8942,0
60,60,0,4321308,0.592841952792081,0.6835124346733094,0.8928,0
61,61,0,4381460,0.5936582504272461,0.6768876825332641,0.8954,0
62,62,0,4441649,0.593913184148615,0.6908829877853394,0.8906,0
63,63,0,4501843,0.5937355302984064,0.6741823978424072,0.8936,0
64,64,0,4562271,0.5914294505726208,0.6722913747787476,0.8934,0
65,65,0,4622449,0.5929361251137474,0.6749857372283935,0.8968,0
66,66,0,4682617,0.5891526347073641,0.6828258979797364,0.8924,0
67,67,0,4742809,0.5880224395058372,0.6708501016616821,0.9018,0
68,68,0,4803160,0.5864980139992454,0.683221610069275,0.8904,0
69,69,0,4863552,0.5868199435147372,0.6761403054237366,0.8954,0
70,70,0,4923946,0.5857262463656339,0.6823174880981445,0.8932,0
71,71,0,4984158,0.5845707645763051,0.6688808019638062,0.8988,0
72,72,0,5044276,0.584104808738015,0.6865624903678894,0.8894,0
73,73,0,5104676,0.5832869101784446,0.6782270434379578,0.8962,0
74,74,0,5165090,0.5831169166564941,0.6799564376831054,0.8988,0
75,75,0,5225294,0.5813494363264604,0.6787979759216308,0.8962,0
76,76,0,5285608,0.5809488437999378,0.6782523208618164,0.8912,0
77,77,0,5345991,0.5813774384932084,0.678295743560791,0.8942,0
78,78,0,5406213,0.5785150195035067,0.6769778240203858,0.895,0
79,79,0,5466363,0.5776955832741477,0.6858794667243957,0.8938,0
80,80,0,5526556,0.578367295143821,0.6823244297027588,0.8914,0
81,81,0,5586905,0.577939849506725,0.6817924938201905,0.8926,0
82,82,0,5647111,0.5764957299665971,0.6837803235054016,0.8916,0
83,83,0,5707328,0.576784765070135,0.6833837369918824,0.8892,0
84,84,0,5767504,0.57694075941606,0.6779565679550171,0.8976,0
85,85,0,5827687,0.5722766245061701,0.6841341724395752,0.8898,0
86,86,0,5888043,0.5736086500688032,0.6665474069595337,0.8982,0
87,87,0,5948247,0.5719749573447488,0.6630341892242432,0.9002,0
88,88,0,6008425,0.5718562460465865,0.6799951467514038,0.8916,0
89,89,0,6068591,0.572587513663552,0.6664127950668335,0.8996,0
90,90,0,6128994,0.570047805924849,0.6809906770706177,0.89,0
91,91,0,6189183,0.5722652431141246,0.6854000448226929,0.8954,0
92,92,0,6249318,0.5713840563687411,0.6782428199768067,0.8988,0
93,93,0,6309526,0.5693757427562367,0.6862866109848023,0.8966,0
94,94,0,6369515,0.5712258475563743,0.6663283952713013,0.8986,0
95,95,0,6429503,0.5687056266784668,0.6680131045341492,0.8978,0
96,96,0,6489681,0.5676370580499822,0.6890547611236573,0.8902,0
97,97,0,6549877,0.5679739685058594,0.6787499576568603,0.898,0
98,98,0,6610087,0.5671371815074574,0.6780026712417603,0.898,0
99,99,0,6670214,0.5690285339355469,0.6717783451080322,0.8998,0
100,100,0,6730384,0.5655590204412287,0.6645777980804444,0.901,0
101,101,0,6790412,0.5667833447543058,0.6729031232833862,0.8948,0
102,102,0,6850580,0.5654626078518954,0.6727956087112427,0.8946,0
103,103,0,6910736,0.565934604436701,0.6753209917068481,0.8962,0
104,104,0,6970988,0.5648827493147417,0.6810298162460328,0.8962,0
105,105,0,7031332,0.5646369735717773,0.6734261989593506,0.8982,0
106,106,0,7091515,0.5638625344016335,0.6674690756797791,0.8976,0
107,107,0,7151700,0.5632093811035156,0.6821352592468262,0.8978,0
108,108,0,7211857,0.5642623463023793,0.6592109951019287,0.9038,0
109,109,0,7272069,0.5628370723377575,0.6742963481903076,0.898,0
110,110,0,7332295,0.5647267639853738,0.6770633874893188,0.8962,0
111,111,0,7392411,0.5629504350142045,0.6653469861984252,0.8992,0
112,112,0,7452622,0.5628270052823153,0.6697013508796692,0.9012,0
113,113,0,7512775,0.5607405242919922,0.672494545841217,0.899,0
114,114,0,7572963,0.5602471237182617,0.668575712966919,0.9006,0
115,115,0,7633316,0.5604107764504173,0.6719406872749328,0.8988,0
116,116,0,7693720,0.5611345685091885,0.6767910813331603,0.8914,0
117,117,0,7753943,0.5580176398537375,0.6634828312873841,0.9016,0
118,118,0,7814277,0.557846915921298,0.669192131614685,0.898,0
119,119,0,7874477,0.5596759866887873,0.6694456592559814,0.8976,0
120,120,0,7934491,0.5582067123413086,0.6742857709884643,0.8976,0
121,121,0,7994631,0.5594858390114524,0.6727747611999512,0.8992,0
122,122,0,8054640,0.5571609066356312,0.675667395401001,0.893,0
123,123,0,8114852,0.5588258576133034,0.678211852645874,0.8928,0
124,124,0,8174974,0.5584990234375,0.6734950408935547,0.8964,0
125,125,0,8235175,0.5578814166675914,0.6753609006881713,0.8976,0
126,126,0,8295533,0.5569374600497159,0.6721435819625855,0.8966,0
127,127,0,8355938,0.556609322010387,0.6676795190811157,0.8976,0
128,128,0,8416121,0.5544740178888494,0.6768919507980347,0.8936,0
129,129,0,8476300,0.5548048853093928,0.6786388991355896,0.8944,0
130,130,0,8536506,0.5561094014948065,0.6785535409927368,0.8976,0
131,131,0,8596874,0.5551460083007812,0.6743621860504151,0.9002,0
132,132,0,8657059,0.5544693867076527,0.6823648845672607,0.8974,0
133,133,0,8717049,0.5575287605979226,0.6698670161247253,0.9012,0
134,134,0,8777216,0.5527732461409135,0.6603555572509766,0.9038,0
135,135,0,8837586,0.5534807312011719,0.6817023082733155,0.895,0
136,136,0,8898003,0.5541086642872204,0.6667031274795532,0.9022,0
137,137,0,8958177,0.5537701136502352,0.6847658695220947,0.8936,0
138,138,0,9018367,0.5528791366577148,0.6668215263366699,0.899,0
139,139,0,9078521,0.5539025604248047,0.6816014179229737,0.8964,0
140,140,0,9138676,0.5536292828646573,0.674686685371399,0.9038,0
141,141,0,9198893,0.5503573140231046,0.6718813411712646,0.899,0
142,142,0,9259063,0.5518450472745028,0.6702537229537964,0.8972,0
143,143,0,9319462,0.5525729877818715,0.6628912445068359,0.9038,0
144,144,0,9379689,0.5510990025607022,0.6696256031990051,0.8996,0
145,145,0,9439857,0.5514501610495828,0.6618581371307373,0.9002,0
146,146,0,9500049,0.5512183289961381,0.6668911382675171,0.9016,0
147,147,0,9560190,0.5503206162886186,0.6640411727905273,0.8998,0
148,148,0,9620393,0.5499230586658824,0.6687126191139221,0.9034,0
149,149,0,9680582,0.5502755741466175,0.6710816870689392,0.8976,0
150,150,0,9740922,0.5518309093128552,0.6795808742523194,0.8942,0
151,151,0,9801141,0.5507889135187323,0.6745487874984741,0.8956,0
152,152,0,9861106,0.5487846424449574,0.6704635431289673,0.8984,0
153,153,0,9921284,0.5486991235906428,0.6733831477165222,0.9002,0
154,154,0,9981493,0.5512972600069913,0.6668686098098755,0.9042,0
155,155,0,10041671,0.5485222675670277,0.6733761897087097,0.8972,0
156,156,0,10101827,0.5477618802157316,0.6719804523468017,0.9012,0
157,157,0,10162045,0.5487330810546875,0.6779931606292725,0.8956,0
158,158,0,10222210,0.5462223064075816,0.6601888350486755,0.9034,0
159,159,0,10282402,0.5486361882990057,0.6736298746109008,0.8962,0
160,160,0,10342399,0.5460728697343306,0.669901762676239,0.9006,0
161,161,0,10402764,0.5483820846557618,0.672920380783081,0.8982,0
162,162,0,10462720,0.548312518379905,0.6730646141052246,0.8966,0
163,163,0,10522939,0.5486125855185768,0.667985489654541,0.901,0
164,164,0,10582929,0.5480205721768466,0.6672344772338867,0.9002,0
165,165,0,10642898,0.5471866269891912,0.668968667602539,0.9,0
166,166,0,10703059,0.5469801926352761,0.6816385122299194,0.8952,0
167,167,0,10763094,0.5478937837080522,0.6606690933227539,0.9026,0
168,168,0,10823028,0.5473390093716708,0.6669047595977783,0.8992,0
169,169,0,10883268,0.5458070490056818,0.664411270236969,0.9034,0
170,170,0,10943386,0.5452346013155851,0.6789730399131775,0.8924,0
171,171,0,11003613,0.5457888679504395,0.66669215965271,0.904,0
172,172,0,11063774,0.5472908755215732,0.67195676279068,0.8978,0
173,173,0,11124335,0.5471830511613326,0.6561579832077027,0.9032,0
174,174,0,11184367,0.5445838795748624,0.6664876684188843,0.9026,0
175,175,0,11244530,0.5439913971640847,0.6682216231346131,0.8966,0
176,176,0,11304701,0.5446316216208718,0.6698917266845703,0.899,0
