,epoch,batch,time_stamp,train_loss,val_loss,val_accuracy
0,0,0,63673,1.4170943692673084,0.0793081199645996,0.5638
1,1,0,127416,1.1542974776999895,0.06863207454681397,0.6656
2,2,0,190806,1.0231892833876055,0.06217254047393799,0.7318
3,3,0,254361,0.946225665197816,0.059061238288879395,0.756
4,4,0,317961,0.8930058286633602,0.05631649885177612,0.7798
5,5,0,381353,0.8564998263536497,0.05443049774169922,0.802
6,6,0,444927,0.8291174393753673,0.052967986392974856,0.81
7,7,0,508741,0.8094983294952748,0.052563253211975094,0.8116
8,8,0,572276,0.7900513119475786,0.051260762119293216,0.825
9,9,0,635914,0.7765346962352132,0.05042942361831665,0.8312
10,10,0,699661,0.7640828239363293,0.05027566261291504,0.8364
11,11,0,763435,0.753546234064324,0.049407986831665036,0.8392
12,12,0,827230,0.7421187942804293,0.04895582723617554,0.846
13,13,0,890816,0.7329428844673689,0.04846950759887695,0.853
14,14,0,954405,0.7268969580184582,0.04892904176712036,0.8492
15,15,0,1018190,0.7191963291445443,0.04812121534347534,0.8526
16,16,0,1081968,0.7117765879908273,0.048122694492340086,0.8542
17,17,0,1145745,0.7054076122683148,0.046987977409362794,0.8586
18,18,0,1209687,0.7001753223496814,0.047721171569824215,0.8524
19,19,0,1274702,0.6943899513677109,0.04716663084030152,0.8558
20,20,0,1340091,0.6916620565015216,0.04700756692886353,0.8658
21,21,0,1405663,0.6861715150433917,0.045720282936096195,0.8682
22,22,0,1471233,0.680598543272462,0.04644246587753296,0.8654
23,23,0,1536812,0.6775165476078211,0.046174620723724365,0.8668
24,24,0,1602399,0.6717089621133583,0.04568249101638794,0.8684
25,25,0,1668620,0.6699493882267974,0.04589976806640625,0.8708
26,26,0,1734374,0.6667088842669199,0.045439012813568117,0.8704
27,27,0,1800010,0.6611881842446882,0.0458314998626709,0.87
28,28,0,1865514,0.6611819105092869,0.04583894100189209,0.869
29,29,0,1931345,0.6557518435078998,0.04525671997070312,0.8728
30,30,0,1997130,0.6526916783909466,0.04600501070022583,0.8744
31,31,0,2064505,0.6509527960488962,0.044962315559387206,0.874
32,32,0,2130283,0.6483517705008041,0.04571234102249146,0.8698
33,33,0,2195839,0.6466531038284302,0.045291903781890866,0.873
