,epoch,batch,time_stamp,train_loss,val_loss,val_accuracy,resqu_weightnorm,resqu_biasnorm
0,0,0,18743,37.79096595865885,20.655054357910156,0.0,1.2545222043991089,0.7725772857666016
1,1,0,37334,19.431349487304686,17.763606408691405,0.0,1.2629867792129517,1.057968020439148
2,2,0,55904,17.597029095458986,16.670675280761717,0.0,1.2571288347244263,1.2556761503219604
3,3,0,74545,17.022588244628906,16.52202332763672,0.0,1.2483230829238892,1.4095706939697266
4,4,0,93279,16.7856898824056,16.206845959472655,0.0,1.2471873760223389,1.5580840110778809
5,5,0,111879,16.62391978149414,16.103731616210936,0.0,1.2251486778259277,1.6734404563903809
6,6,0,130573,16.496205590820313,15.970466088867187,0.0,1.222464919090271,1.724841594696045
7,7,0,149297,16.391513895670574,15.938708093261718,0.0,1.2233856916427612,1.770560383796692
8,8,0,167903,16.30856757405599,15.823917431640625,0.0,1.2154446840286255,1.8128312826156616
9,9,0,186520,16.238199916585287,15.668324047851563,0.0,1.3803009986877441,1.8500556945800781
10,10,0,205215,15.80352553914388,15.265440112304688,0.0,1.5609252452850342,1.9413135051727295
11,11,0,223783,15.544580275472006,15.037588427734375,0.0,1.5103201866149902,2.098889112472534
12,12,0,242397,15.483969608561198,14.976038391113281,0.0,1.5072200298309326,2.236846923828125
13,13,0,260987,15.442939381917318,14.928932110595703,0.0,1.5054813623428345,2.327468156814575
14,14,0,279619,15.414391111246745,15.035994152832032,0.0,1.500084400177002,2.4614789485931396
15,15,0,298310,15.36283221842448,14.892580847167968,0.0,1.4835447072982788,2.547384023666382
16,16,0,316886,15.32835748087565,15.077407299804687,0.0,1.4672681093215942,2.608424186706543
17,17,0,335563,15.29844322306315,14.845559765625,0.0,1.4687237739562988,2.657270669937134
18,18,0,354189,15.30173471476237,14.845713452148438,0.0,1.4827922582626343,2.6842353343963623
19,19,0,372819,15.27624223836263,14.740748681640625,0.0,1.5047513246536255,2.7182180881500244
20,20,0,391619,15.223650958251953,14.863956335449219,0.0,1.5033437013626099,2.737511396408081
21,21,0,410170,15.242267612711588,14.775535217285157,0.0,1.5049171447753906,2.7408037185668945
22,22,0,428830,15.173376234944662,14.635651770019532,0.0,1.768257975578308,2.7582552433013916
23,23,0,447647,14.828431717936198,14.407058813476562,0.0,1.8165335655212402,2.8669486045837402
24,24,0,466227,14.683687502034505,14.383904907226562,0.0,1.7740243673324585,2.987621784210205
25,25,0,484850,14.613086165364583,14.079845452880859,0.0,1.7285445928573608,3.0817322731018066
26,26,0,503483,14.60356996459961,14.21027451171875,0.0,1.7229863405227661,3.1740305423736572
27,27,0,522204,14.576880922444662,14.138636779785156,0.0,1.7001063823699951,3.2383615970611572
28,28,0,540831,14.558038970947266,14.11823331298828,0.0,1.7121360301971436,3.29008150100708
29,29,0,559738,14.536538934326172,14.087079876708984,0.0,1.705129623413086,3.3320300579071045
30,30,0,578373,14.529645491536458,14.075917785644531,0.0,1.7035952806472778,3.3566627502441406
31,31,0,596982,14.521836435953777,14.043641265869141,0.0,1.7040046453475952,3.3872902393341064
32,32,0,615588,14.51513807373047,14.142446044921876,0.0,1.7201802730560303,3.3965229988098145
33,33,0,634231,14.498194226074219,14.091135083007812,0.0,1.724522590637207,3.3978748321533203
34,34,0,652881,14.490224597167968,14.09722680053711,0.0,1.7221407890319824,3.3860878944396973
35,35,0,671528,14.480060917154947,14.140134020996094,0.0,1.7143661975860596,3.4218435287475586
36,36,0,690138,14.475564739990235,14.050587145996094,0.0,1.7138534784317017,3.4433672428131104
37,37,0,708780,14.446739105224609,14.093400286865235,0.0,1.733405351638794,3.429090976715088
38,38,0,727343,14.453710852050781,14.023628002929687,0.0,1.7294687032699585,3.4297165870666504
39,39,0,745957,14.440830151367187,14.009260137939453,0.0,1.7455347776412964,3.414013385772705
40,40,0,764633,14.433579138183594,14.080842944335938,0.0,1.7338435649871826,3.4350168704986572
41,41,0,783348,14.419466373697917,14.00101089477539,0.0,1.7456409931182861,3.4416470527648926
42,42,0,801920,14.422178546142579,13.983718316650391,0.0,1.741544485092163,3.442150592803955
43,43,0,820556,14.40683504638672,14.030609741210938,0.0,1.7467315196990967,3.4216501712799072
44,44,0,839169,14.398322395833333,13.96171231689453,0.0,1.755129337310791,3.4117300510406494
