,epoch,batch,time_stamp,train_loss,val_loss,val_accuracy,resqu_weightnorm,resqu_biasnorm
0,0,0,11431,0.7206841214497884,0.6282901382446289,0.0,0.35299989581108093,0.3398573398590088
1,1,0,23306,0.5517434660593669,0.5585560512542724,0.0,0.3539550006389618,0.3447790741920471
2,2,0,34828,0.5645160738627116,0.5481598663330078,0.0,0.3523183763027191,0.34960219264030457
3,3,0,45953,0.5292149702707927,0.5524851131439209,0.0,0.37062591314315796,0.3429811894893646
4,4,0,57427,0.5364929103851318,0.5350398540496826,0.0,0.39533528685569763,0.3507399260997772
5,5,0,68685,0.5278078238169353,0.5280874252319336,0.0,0.3804802894592285,0.3962455689907074
6,6,0,80083,0.5173887157440186,0.5224191761016845,0.0,0.3891262412071228,0.43749797344207764
7,7,0,91287,0.5041689109802246,0.5014058303833008,0.0,0.4482927918434143,0.46609970927238464
8,8,0,102836,0.4795938428243001,0.47107611656188964,0.0,0.4508860111236572,0.5400139093399048
9,9,0,114522,0.43894790013631185,0.4209637832641602,0.0,0.49816760420799255,0.6037538051605225
10,10,0,125872,0.39063254356384275,0.3755515098571777,0.0,0.5218381881713867,0.669863224029541
11,11,0,137462,0.35449747085571287,0.33765737533569334,0.0,0.5361406803131104,0.7163423299789429
12,12,0,148738,0.3201380268732707,0.31169174194335936,0.0,0.5445942282676697,0.731519877910614
13,13,0,160110,0.29784143606821695,0.2799085664749146,0.0,0.5396708250045776,0.7341219186782837
14,14,0,171229,0.2717239284515381,0.2615196752548218,0.0,0.5329086184501648,0.7189423441886902
15,15,0,182577,0.2513173119227092,0.2415353012084961,0.0,0.518271803855896,0.7016019821166992
16,16,0,193795,0.23894192059834798,0.24323984146118163,0.0,0.5083645582199097,0.6822371482849121
17,17,0,205175,0.22719114780426025,0.21038712978363036,0.0,0.51142817735672,0.6617834568023682
18,18,0,216368,0.20623270988464357,0.20104116916656495,0.0,0.5141705870628357,0.6479214429855347
19,19,0,227481,0.1926046593983968,0.1786077380180359,0.0,0.5239033102989197,0.6404026746749878
