,epoch,batch,time_stamp,train_loss,val_loss,val_accuracy,resqu_weightnorm,resqu_biasnorm
0,0,0,18616,37.214901096598304,19.543445581054687,0.0,0.0,0.0
1,1,0,37111,18.659540356445312,17.219576391601564,0.0,0.0,0.0
2,2,0,55657,17.030128208414713,16.124204528808594,0.0,0.0,0.0
3,3,0,74197,16.477479795328776,15.864441162109374,0.0,0.0,0.0
4,4,0,93183,16.08593998413086,15.430858911132812,0.0,0.0,0.0
5,5,0,112032,15.730623337809245,15.240702185058593,0.0,0.0,0.0
6,6,0,130581,15.528144083658853,15.079243798828125,0.0,0.0,0.0
7,7,0,149362,15.417652126057943,15.058623474121093,0.0,0.0,0.0
8,8,0,167920,15.355206164550781,14.961360485839844,0.0,0.0,0.0
9,9,0,186486,15.333282322184244,14.950087548828124,0.0,0.0,0.0
10,10,0,205141,15.298530678304036,14.86268712158203,0.0,0.0,0.0
11,11,0,223590,15.092914782714844,14.484407708740234,0.0,0.0,0.0
12,12,0,242173,14.772391689046223,14.35919912109375,0.0,0.0,0.0
13,13,0,260758,14.703555963134766,14.2756625,0.0,0.0,0.0
14,14,0,279544,14.651322888183595,14.253674829101563,0.0,0.0,0.0
15,15,0,298200,14.615591326904298,14.235576818847656,0.0,0.0,0.0
16,16,0,316746,14.594159639485676,14.21295191040039,0.0,0.0,0.0
17,17,0,335276,14.579100675455729,14.170897247314453,0.0,0.0,0.0
18,18,0,353891,14.548860070800782,14.20687578125,0.0,0.0,0.0
19,19,0,372449,14.53936362915039,14.176439611816406,0.0,0.0,0.0
20,20,0,391058,14.509170900472006,14.141553796386718,0.0,0.0,0.0
21,21,0,409774,14.50241005859375,14.151861389160157,0.0,0.0,0.0
22,22,0,428312,14.499648323567708,14.122601232910156,0.0,0.0,0.0
23,23,0,446711,14.48377806599935,14.03364852294922,0.0,0.0,0.0
24,24,0,465265,14.450854549153647,14.062139599609376,0.0,0.0,0.0
25,25,0,483729,14.43343735555013,14.067413940429688,0.0,0.0,0.0
26,26,0,502297,14.409521545410156,13.982812420654296,0.0,0.0,0.0
27,27,0,520897,14.411097705078125,14.009376281738282,0.0,0.0,0.0
28,28,0,539586,14.397471360270183,13.986429907226562,0.0,0.0,0.0
29,29,0,558185,14.391793601481119,13.965527600097657,0.0,0.0,0.0
30,30,0,576748,14.372204998779297,13.982971136474609,0.0,0.0,0.0
31,31,0,595295,14.358970552571614,13.961278918457031,0.0,0.0,0.0
32,32,0,613816,14.353113419596355,13.974493530273438,0.0,0.0,0.0
33,33,0,632390,14.33052944132487,13.988515264892579,0.0,0.0,0.0
34,34,0,650877,14.330398988850911,14.009549145507812,0.0,0.0,0.0
35,35,0,669756,14.325157983398437,13.915035968017579,0.0,0.0,0.0
36,36,0,688401,14.325568520100912,13.94476196899414,0.0,0.0,0.0
37,37,0,706893,14.310148030598958,13.955587445068359,0.0,0.0,0.0
